Episode #,Song Questions + Snack Time Game,Air Date,Month,Year
79,Orange Caramel - Shanghai Romance,"October 12, 2019",October,2019
80,Fin.K.L - Shadow,"October 19, 2019",October,2019
80,Ravi (VIXX) - Tuxedo,"October 19, 2019",October,2019
81,Rain - Hip Song,"October 26, 2019",October,2019
81,Park Ji-yoon - Broken,"October 26, 2019",October,2019
82,Bewhy (feat. Jay Park) - Day Day,"November 2, 2019",November,2019
82,So Chan-whee - Hold Me Now,"November 2, 2019",November,2019
83,Giriboy (feat. Heize) - Traffic Control,"November 16, 2019",November,2019
83,Lee Hye-young - La Dolce Vita,"November 16, 2019",November,2019
84,"One Two - Now, Hips","November 23, 2019",November,2019
84,WJSN - Boogie Up,"November 23, 2019",November,2019
85,Kim Hyun-jung - Lonely Love,"November 30, 2019",November,2019
85,(G)I-DLE - Uh-Oh,"November 30, 2019",November,2019
86,Hyeon In - Silla's Moon Night,"December 7, 2019",December,2019
86,Lee Hyo-ri - Depth,"December 7, 2019",December,2019
87,Baby V.O.X - Get Up,"December 14, 2019",December,2019
87,EXO - Gravity,"December 14, 2019",December,2019
88,Twice - Likey,"December 21, 2019",December,2019
88,Ailee - Mind Your Own Business,"December 21, 2019",December,2019
89,IU - Blueming,"December 28, 2019",December,2019
89,VIXX - Chained Up,"December 28, 2019",December,2019
90,Mamamoo - Hip,"January 4, 2020",January,2020
90,Seomoon Tak - Chain,"January 4, 2020",January,2020
91,Girls' Generation - Echo,"January 11, 2020",January,2020
91,Hockee (feat. Yoo Sang-bong) - Balloon Dog,"January 11, 2020",January,2020
92,Cool - Sleep Again,"January 18, 2020",January,2020
92,Han Young-ae - Nonsense,"January 18, 2020",January,2020
93,Red Velvet - Psycho,"January 25, 2020",January,2020
93,Riaa - Personality,"January 25, 2020",January,2020
94,Seventeen - Clap,"February 1, 2020",February,2020
94,Kim Tae-woo (g.o.d) - Memories and Remembrance,"February 1, 2020",February,2020
95,Jinusean (feat. Uhm Jung-hwa) - Tell Me,"February 8, 2020",February,2020
95,Bolbbalgan4 - 25,"February 8, 2020",February,2020
96,Cho Yong-pil - Red Dragonfly,"February 15, 2020",February,2020
96,Zico (Block B) - Any Song,"February 15, 2020",February,2020
97,T-ara - Like The First Time,"February 22, 2020",February,2020
97,Davichi - Again,"February 22, 2020",February,2020
Special 3,f(x) - Pinocchio (Danger),"February 26, 2020",February,2020
Special 3,Hyun Jin-young - Break Me Down,"February 26, 2020",February,2020
98,Changmo - Meteor,"February 29, 2020",February,2020
98,O.P.P.A 007 - Come! Come!,"February 29, 2020",February,2020
99,Turbo - Twist King,"March 7, 2020",March,2020
100,BTS - Idol,"March 14, 2020",March,2020
101,Yoon Si-nae - Dating,"March 21, 2020",March,2020
101,SHINee - Clue,"March 21, 2020",March,2020
102,Turtles - Bingo,"March 28, 2020",March,2020
102,Kim Yeon-woo - Homesick,"March 28, 2020",March,2020
103,Mamamoo - Décalcomanie,"April 11, 2020",April,2020
103,Im Chang-jung - What! What!,"April 11, 2020",April,2020
104,U-Know Yunho (TVXQ) - Why,"April 18, 2020",April,2020
104,To-ya - Look,"April 18, 2020",April,2020
105,Click-B - Undefeatable,"April 25, 2020",April,2020
105,Stella Jang - Alcoholman,"April 25, 2020",April,2020
106,Carnival - Go Get Her,"May 2, 2020",May,2020
106,TXT - 9 and Three Quarters (Run Away),"May 2, 2020",May,2020
107,Lovelyz - Destiny,"May 9, 2020",May,2020
107,ZE:A - Mazeltov,"May 9, 2020",May,2020
108,Cool - Misery,"May 16, 2020",May,2020
108,Dean - bonnie & clyde,"May 16, 2020",May,2020
109,Gloomy 30's - Change,"May 23, 2020",May,2020
109,Lee So-eun - Kitchen,"May 23, 2020",May,2020
110,Kim Won-jun - You're Mine,"May 30, 2020",May,2020
110,Zion.T - Ideal,"May 30, 2020",May,2020
111,IU (feat. Suga (BTS)) - eight,"June 6, 2020",June,2020
111,Taesaja - Affection,"June 6, 2020",June,2020
112,Diva - Perfect!,"June 13, 2020",June,2020
112,Diva - Perfect!,"June 13, 2020",June,2020
113,EXO - Girl x Friend,"June 20, 2020",June,2020
113,Oh My Girl - Bungee (Fall in Love),"June 20, 2020",June,2020
114,AKMU - Idea,"June 27, 2020",June,2020
114,Maya - Coolly,"June 27, 2020",June,2020
115,NRG - Hurray For a Virile Son of Korea,"July 4, 2020",July,2020
115,Blackpink - See U Later,"July 4, 2020",July,2020
116,Boom - Beautiful,"July 11, 2020",July,2020
116,Red Velvet - Rookie,"July 11, 2020",July,2020
117,Norazo - Rock Star,"July 18, 2020",July,2020
117,Apink - Dumhdurum,"July 18, 2020",July,2020
118,Jang Beom-june - Crush,"July 25, 2020",July,2020
118,Ravi (VIXX) (feat. Paloalto) - Rock Star,"July 25, 2020",July,2020
119,Lady Gaga + Blackpink - Sour Candy,"August 1, 2020",August,2020
119,Uptown - Back To Me,"August 1, 2020",August,2020
120,Hwasa (Mamamoo) - Maria,"August 8, 2020",August,2020
120,ZE:A - The Ghost of Wind,"August 8, 2020",August,2020
121,Buck - The Age of Success,"August 15, 2020",August,2020
121,Secret - Poison,"August 15, 2020",August,2020
122,Crush (feat. Joy (Red Velvet)) - Mayday,"August 22, 2020",August,2020
122,Ateez - THANXX,"August 22, 2020",August,2020
123,Oh My Girl - Nonstop,"August 29, 2020",August,2020
123,Chakra - Oh! My Boy,"August 29, 2020",August,2020
124,Park Nam-jung - Days With Rain,"September 5, 2020",September,2020
124,Seventeen - Boom Boom,"September 5, 2020",September,2020
125,Ryang Hyun Ryang Ha (feat. Park Ji-yoon) - She Was 2 Years Older,"September 12, 2020",September,2020
125,Lee Seung-hwan - Where is My Girl,"September 12, 2020",September,2020
126,2AM - I Was Wrong,"September 19, 2020",September,2020
126,Changmo (feat. Chungha) - Remedy,"September 19, 2020",September,2020
127,BTS - Go Go,"September 26, 2020",September,2020
127,Jessi - Nunu Nana,"September 26, 2020",September,2020
128,Yang Bae-chu - That Girl's Phone Number,"October 3, 2020",October,2020
128,Mamamoo - Aze Gag,"October 3, 2020",October,2020
129,Itzy - Not Shy,"October 10, 2020",October,2020
129,g.o.d (feat. IU) - Sing For Me,"October 10, 2020",October,2020
130,Super Junior (feat. f(x)) - Oops!,"October 17, 2020",October,2020
130,Fin.K.L - Time of Mask,"October 17, 2020",October,2020
131,Psy (feat. G-Dragon (Big Bang)) - Tree Frog,"October 24, 2020",October,2020
131,Gigs - Village Music Brigade,"October 24, 2020",October,2020
132,AKMU - Love in the Milky Way Cafe,"October 31, 2020",October,2020
132,BESTie - Love Options,"October 31, 2020",October,2020
133,Zaza - She Came,"November 7, 2020",November,2020
133,"Zico (Block B) - I Am You, You Are Me","November 7, 2020",November,2020
134,Seventeen - Adore U,"November 14, 2020",November,2020
134,Hockee - Best in the Universe!,"November 14, 2020",November,2020
135,Girl's Day - Ring My Bell,"November 21, 2020",November,2020
135,B.B - Tragic Love,"November 21, 2020",November,2020
136,DJ DOC - Together,"November 28, 2020",November,2020
136,"Lovelyz - Now, We","November 28, 2020",November,2020
137,Urban Zakapa (feat. Beenzino) - Seoul Night,"December 5, 2020",December,2020
137,CL - MTBD (Mental Breakdown),"December 5, 2020",December,2020
138,Ryang Hyun Ryang Ha - What's The Dance?,"December 12, 2020",December,2020
138,"Jawsh 685, Jason Derulo, BTS - Savage Love (Laxed - Siren Beat) (BTS Remix)","December 12, 2020",December,2020
139,Twice - Hell in Heaven,"December 19, 2020",December,2020
139,"Giriboy (feat. The Quiett, Bewhy) - Skyblue","December 19, 2020",December,2020
140,Wonder Girls - I Feel You,"December 26, 2020",December,2020
140,Sunny Hill - Princess and Prince Charming,"December 26, 2020",December,2020
141,Lexa - Love Valentine,"January 2, 2021",January,2021
141,BtoB - All Wolves Except Me,"January 2, 2021",January,2021
142,Nine Muses - Drama,"January 9, 2021",January,2021
142,g.o.d - Sky Blue Promise,"January 9, 2021",January,2021
143,Cool - Woman in the Snow,"January 16, 2021",January,2021
143,Lovelyz - WoW!,"January 16, 2021",January,2021
144,Max Changmin (TVXQ) - Piano,"January 23, 2021",January,2021
144,Hello Venus - I'm Ill,"January 23, 2021",January,2021
145,Young Turks Club - Jealousy,"January 30, 2021",January,2021
145,Sunmi - Noir,"January 30, 2021",January,2021
146,Baby V.O.X - Change,"February 6, 2021",February,2021
147,Lee Jung-hyun - Hey!,"February 13, 2021",February,2021
147,Davichi (feat. Jay Park) - White,"February 13, 2021",February,2021
148,Psy (feat. Tablo (Epik High)) - Auto Reverse,"February 20, 2021",February,2021
148,Laboum - Shooting Love,"February 20, 2021",February,2021
149,Seventeen - Do Re Mi,"February 27, 2021",February,2021
149,Weki Meki - Tiki-Taka (99%),"February 27, 2021",February,2021
150,Lexy - Girls,"March 6, 2021",March,2021
150,Jessi - Life is Good,"March 6, 2021",March,2021
151,Gray (feat. Loco) - Just Do It,"March 13, 2021",March,2021
151,TXT - Drama,"March 13, 2021",March,2021
152,Koyote - Party Party,"March 20, 2021",March,2021
152,Norazo - Ineffective Boss Without Power,"March 20, 2021",March,2021
153,Got7 - Girls Girls Girls,"March 27, 2021",March,2021
153,Dal Shabet - B.B.B (Big Baby Baby),"March 27, 2021",March,2021
154,Beenzino - Break,"April 3, 2021",April,2021
154,Hyun-i & Deok-i - Wait A Minute,"April 3, 2021",April,2021
155,H.O.T. - Warrior's Descendant,"April 10, 2021",April,2021
155,Apink - Drummer Boy,"April 10, 2021",April,2021
156,Buzz - Love Comes From the Heart,"April 17, 2021",April,2021
156,Mamamoo - Dingga,"April 17, 2021",April,2021
157,IU - Coin,"April 24, 2021",April,2021
157,Brave Girls - We Ride,"April 24, 2021",April,2021
158,APOKI - Get It Out,"May 1, 2021",May,2021
158,V.O.S - Cry,"May 1, 2021",May,2021
159,BTS - Save ME,"May 8, 2021",May,2021
159,Monsta X - Shoot Out,"May 8, 2021",May,2021
160,Uhm Jung-hwa - Poison,"May 15, 2021",May,2021
160,Nine Muses A - Lip 2 Lip,"May 15, 2021",May,2021
161,g.o.d - With Little Man,"May 22, 2021",May,2021
161,Hwasa (Mamamoo) - Kidding,"May 22, 2021",May,2021
162,Gaeko (Dynamic Duo) - Rhythm Is Life (Feeling So Good),"May 29, 2021",May,2021
162,ONF - Yayaya,"May 29, 2021",May,2021
163,Sharp - Lying,"June 5, 2021",June,2021
163,K.Will (feat. Beenzino) - Bon Voyage,"June 5, 2021",June,2021
164,Lee Hyo-ri - Straight Up,"June 12, 2021",June,2021
164,GFriend - Mermaid,"June 12, 2021",June,2021
165,Zico (Block B) - No You Can't,"June 19, 2021",June,2021
165,T-ara - So Crazy,"June 19, 2021",June,2021
166,Monsta X - Trespass,"June 26, 2021",June,2021
166,Oh My Girl - NE♡N,"June 26, 2021",June,2021
167,Seventeen - Run To You,"July 3, 2021",July,2021
167,Lovelyz - Dream in a Dream,"July 3, 2021",July,2021
168,G-Dragon (Big Bang) - One of a Kind,"July 10, 2021",July,2021
168,Day6 - Ouch,"July 10, 2021",July,2021
169,Turbo - Napoleon,"July 17, 2021",July,2021
169,WJSN - Happy,"July 17, 2021",July,2021
170,Lee So-ra - Let Love Stop,"July 24, 2021",July,2021
170,Golden Child - DamDaDi,"July 24, 2021",July,2021
171,Cool - I Want Love,"July 31, 2021",July,2021
172,Orange Caramel - Abing Abing,"August 7, 2021",August,2021
173,Kim Hyun-jung - Don't You Follow Me,"August 14, 2021",August,2021
173,"Uhm Jung-hwa (feat. Hwasa, DPR Live) - Hop In","August 14, 2021",August,2021
174,Im Chang-jung - Change of Heart,"August 21, 2021",August,2021
174,AKMU - Chocolady,"August 21, 2021",August,2021
175,Sumi Jo + Rain - Guardians,"August 28, 2021",August,2021
175,Nemesis - Rose of Versailles,"August 28, 2021",August,2021
176,Brown Eyed Girls (feat. Uhm Jung-hwa) - Invitation,"September 4, 2021",September,2021
176,Super Junior-D&E - Danger,"September 4, 2021",September,2021
177,"Epik High (feat. Taru) - 1 Minute, 1 Second","September 11, 2021",September,2021
177,TXT - What If I Had Been That Puma,"September 11, 2021",September,2021
178,Lee Jung-hyun - Eat Well Live Well...,"September 18, 2021",September,2021
178,Zico (Block B) (feat. Bibi) - Love & Hate,"September 18, 2021",September,2021
179,BTS - Telepathy,"September 25, 2021",September,2021
179,"Turbo (feat. Lee Ha-neul, Jinu & Lee Sang-min) - Top 10 Songs","September 25, 2021",September,2021
180,Jessi - Star,"October 2, 2021",October,2021
180,Electron Sheep - Sugar Man,"October 2, 2021",October,2021
181,S.E.S. - Twilight Zone,"October 9, 2021",October,2021
181,Seventeen - GAM3 BO1,"October 9, 2021",October,2021
182,J.ae (feat. Humming Urban Stereo) - Toast,"October 16, 2021",October,2021
182,The 5 Emperors - Wonderful Barn,"October 16, 2021",October,2021
183,Taesaja - The Way,"October 23, 2021",October,2021
183,CL - +HWA+,"October 23, 2021",October,2021
184,SHINee - Love Still Goes On,"October 30, 2021",October,2021
184,Itzy - Loco,"October 30, 2021",October,2021
185,Winner - Just Dance,"November 6, 2021",November,2021
186,Ha Ji-won - Two-Time,"November 13, 2021",November,2021
186,Little Mix - Wings (Korean Ver.),"November 13, 2021",November,2021
187,"Simon Dominic (feat. Loopy, Crush) - Make Her Dance","November 20, 2021",November,2021
187,Twice - Rollin',"November 20, 2021",November,2021
188,Red Velvet - Pose,"November 27, 2021",November,2021
